date,day,day_name,month,month_name,quarter,year,is_weekend,is_trading_day,financial_year,week_of_year
2023-01-01,1,Sunday,1,January,1,2023,1,0,FY22-23,52
2023-01-02,2,Monday,1,January,1,2023,0,1,FY22-23,1
2023-01-03,3,Tuesday,1,January,1,2023,0,1,FY22-23,1
2023-01-04,4,Wednesday,1,January,1,2023,0,1,FY22-23,1
2023-01-05,5,Thursday,1,January,1,2023,0,1,FY22-23,1
2023-01-06,6,Friday,1,January,1,2023,0,1,FY22-23,1
2023-01-07,7,Saturday,1,January,1,2023,1,0,FY22-23,1
2023-01-08,8,Sunday,1,January,1,2023,1,0,FY22-23,1
2023-01-09,9,Monday,1,January,1,2023,0,1,FY22-23,2
2023-01-10,10,Tuesday,1,January,1,2023,0,1,FY22-23,2
2023-01-11,11,Wednesday,1,January,1,2023,0,1,FY22-23,2
2023-01-12,12,Thursday,1,January,1,2023,0,1,FY22-23,2
2023-01-13,13,Friday,1,January,1,2023,0,1,FY22-23,2
2023-01-14,14,Saturday,1,January,1,2023,1,0,FY22-23,2
2023-01-15,15,Sunday,1,January,1,2023,1,0,FY22-23,2
2023-01-16,16,Monday,1,January,1,2023,0,1,FY22-23,3
2023-01-17,17,Tuesday,1,January,1,2023,0,1,FY22-23,3
2023-01-18,18,Wednesday,1,January,1,2023,0,1,FY22-23,3
2023-01-19,19,Thursday,1,January,1,2023,0,1,FY22-23,3
2023-01-20,20,Friday,1,January,1,2023,0,1,FY22-23,3
2023-01-21,21,Saturday,1,January,1,2023,1,0,FY22-23,3
2023-01-22,22,Sunday,1,January,1,2023,1,0,FY22-23,3
2023-01-23,23,Monday,1,January,1,2023,0,1,FY22-23,4
2023-01-24,24,Tuesday,1,January,1,2023,0,1,FY22-23,4
2023-01-25,25,Wednesday,1,January,1,2023,0,1,FY22-23,4
2023-01-26,26,Thursday,1,January,1,2023,0,1,FY22-23,4
2023-01-27,27,Friday,1,January,1,2023,0,1,FY22-23,4
2023-01-28,28,Saturday,1,January,1,2023,1,0,FY22-23,4
2023-01-29,29,Sunday,1,January,1,2023,1,0,FY22-23,4
2023-01-30,30,Monday,1,January,1,2023,0,1,FY22-23,5
2023-01-31,31,Tuesday,1,January,1,2023,0,1,FY22-23,5
2023-02-01,1,Wednesday,2,February,1,2023,0,1,FY22-23,5
2023-02-02,2,Thursday,2,February,1,2023,0,1,FY22-23,5
2023-02-03,3,Friday,2,February,1,2023,0,1,FY22-23,5
2023-02-04,4,Saturday,2,February,1,2023,1,0,FY22-23,5
2023-02-05,5,Sunday,2,February,1,2023,1,0,FY22-23,5
2023-02-06,6,Monday,2,February,1,2023,0,1,FY22-23,6
2023-02-07,7,Tuesday,2,February,1,2023,0,1,FY22-23,6
2023-02-08,8,Wednesday,2,February,1,2023,0,1,FY22-23,6
2023-02-09,9,Thursday,2,February,1,2023,0,1,FY22-23,6
2023-02-10,10,Friday,2,February,1,2023,0,1,FY22-23,6
2023-02-11,11,Saturday,2,February,1,2023,1,0,FY22-23,6
2023-02-12,12,Sunday,2,February,1,2023,1,0,FY22-23,6
2023-02-13,13,Monday,2,February,1,2023,0,1,FY22-23,7
2023-02-14,14,Tuesday,2,February,1,2023,0,1,FY22-23,7
2023-02-15,15,Wednesday,2,February,1,2023,0,1,FY22-23,7
2023-02-16,16,Thursday,2,February,1,2023,0,1,FY22-23,7
2023-02-17,17,Friday,2,February,1,2023,0,1,FY22-23,7
2023-02-18,18,Saturday,2,February,1,2023,1,0,FY22-23,7
2023-02-19,19,Sunday,2,February,1,2023,1,0,FY22-23,7
2023-02-20,20,Monday,2,February,1,2023,0,1,FY22-23,8
2023-02-21,21,Tuesday,2,February,1,2023,0,1,FY22-23,8
2023-02-22,22,Wednesday,2,February,1,2023,0,1,FY22-23,8
2023-02-23,23,Thursday,2,February,1,2023,0,1,FY22-23,8
2023-02-24,24,Friday,2,February,1,2023,0,1,FY22-23,8
2023-02-25,25,Saturday,2,February,1,2023,1,0,FY22-23,8
2023-02-26,26,Sunday,2,February,1,2023,1,0,FY22-23,8
2023-02-27,27,Monday,2,February,1,2023,0,1,FY22-23,9
2023-02-28,28,Tuesday,2,February,1,2023,0,1,FY22-23,9
2023-03-01,1,Wednesday,3,March,1,2023,0,1,FY22-23,9
2023-03-02,2,Thursday,3,March,1,2023,0,1,FY22-23,9
2023-03-03,3,Friday,3,March,1,2023,0,1,FY22-23,9
2023-03-04,4,Saturday,3,March,1,2023,1,0,FY22-23,9
2023-03-05,5,Sunday,3,March,1,2023,1,0,FY22-23,9
2023-03-06,6,Monday,3,March,1,2023,0,1,FY22-23,10
2023-03-07,7,Tuesday,3,March,1,2023,0,1,FY22-23,10
2023-03-08,8,Wednesday,3,March,1,2023,0,1,FY22-23,10
2023-03-09,9,Thursday,3,March,1,2023,0,1,FY22-23,10
2023-03-10,10,Friday,3,March,1,2023,0,1,FY22-23,10
2023-03-11,11,Saturday,3,March,1,2023,1,0,FY22-23,10
2023-03-12,12,Sunday,3,March,1,2023,1,0,FY22-23,10
2023-03-13,13,Monday,3,March,1,2023,0,1,FY22-23,11
2023-03-14,14,Tuesday,3,March,1,2023,0,1,FY22-23,11
2023-03-15,15,Wednesday,3,March,1,2023,0,1,FY22-23,11
2023-03-16,16,Thursday,3,March,1,2023,0,1,FY22-23,11
2023-03-17,17,Friday,3,March,1,2023,0,1,FY22-23,11
2023-03-18,18,Saturday,3,March,1,2023,1,0,FY22-23,11
