stock_id,symbol,company_name,sector,exchange,isin_code,listing_date,face_value,base_price,market_cap_cr,beta,is_fno_enabled
1,METIN1,Metro Infra Ltd,FMCG,BSE,INE953518A98,2022-04-11,10,432.47,118476.1,1.22,0
2,UNIMO2,United Motors,IT,NSE,INE401557A46,2017-07-02,2,3944.43,481202.73,1.26,0
3,ZENRE3,Zenith Realty,Pharma,BSE,INE716531A23,2016-08-13,10,3887.48,79388.35,0.58,0
4,ROYCH4,Royal Chemicals,Realty,NSE,INE605153A29,2019-02-01,2,1550.7,52666.89,1.08,0
5,SUNEN5,Sun Energy,Infra,BSE,INE574896A74,2015-12-21,2,2976.68,68927.49,0.52,1
6,SHRPH6,Shree Pharma,Pharma,NSE,INE765451A20,2022-03-30,10,2949.02,101535.23,1.8,1
7,APEST7,Apex Steel,Infra,BSE,INE360673A41,2020-10-24,1,417.27,184422.93,1.34,1
8,TRUBA8,Trust Bank,Metals,BSE,INE752944A39,2020-01-16,1,955.78,98656.99,1.84,1
9,UNIIN9,United Infra Ltd,IT,NSE,INE517007A30,2021-04-18,10,3558.15,43991.31,1.17,0
10,KRIPH10,Krishna Pharma,Banking,BSE,INE410421A52,2018-08-17,10,679.47,68395.46,0.68,1
11,TRUPH11,Trust Pharma,IT,BSE,INE289294A19,2018-04-28,1,2093.0,394855.05,0.94,0
12,NATFO12,National Foods,Metals,NSE,INE228126A50,2013-08-21,10,991.73,260085.77,0.82,0
13,DELFI13,Delta Finance,Realty,BSE,INE247463A12,2018-02-25,5,2239.31,372965.96,1.19,0
14,OMIN14,Om Industries,Telecom,NSE,INE850396A96,2015-06-12,10,802.19,88432.04,1.82,1
15,ZENST15,Zenith Steel,Energy,BSE,INE560052A63,2022-02-14,2,878.68,152655.82,0.61,1
16,PRIBA16,Prime Bank,Banking,BSE,INE249940A16,2022-05-31,5,206.26,491154.49,1.12,1
17,METST17,Metro Steel,Infra,NSE,INE171694A26,2019-01-21,1,3960.88,42925.52,0.57,0
18,ROYME18,Royal Metals,Telecom,NSE,INE200292A75,2019-09-23,5,470.12,219391.32,1.1,1
19,STAFO19,Star Foods,Metals,NSE,INE793377A75,2013-10-10,2,1674.16,147955.73,1.45,1
20,PIOIN20,Pioneer Industries,Infra,BSE,INE358685A42,2018-02-03,2,1681.88,3766.5,0.52,1
21,SHRPH21,Shree Pharma,Pharma,BSE,INE422756A23,2018-02-18,2,1228.43,276270.69,0.52,0
22,UNIST22,United Steel,Energy,BSE,INE525554A57,2014-07-05,2,3180.08,275047.65,1.71,0
23,NOVPH23,Nova Pharma,Energy,BSE,INE284127A34,2014-05-10,1,1364.01,160298.27,1.13,0
24,NATFI24,National Finance,Pharma,NSE,INE523401A18,2015-03-31,10,2509.29,236182.05,1.03,1
25,NOVTE25,Nova Technologies,Infra,NSE,INE630118A40,2018-08-17,2,2181.14,196034.57,1.64,1
26,ROYIN26,Royal Infra Ltd,Energy,BSE,INE738816A76,2020-11-04,2,3458.83,232156.43,0.55,0
27,SHREN27,Shree Energy,Infra,NSE,INE433655A41,2022-08-25,10,3281.54,424039.48,1.95,1
28,NOVRE28,Nova Realty,FMCG,NSE,INE575157A13,2022-07-01,2,887.43,357015.26,1.8,1
29,NOVTE29,Nova Textiles,Auto,NSE,INE273110A20,2014-11-08,5,3005.44,140194.29,1.1,0
30,UNIPH30,United Pharma,Infra,NSE,INE355564A63,2021-09-05,10,3174.42,119846.54,1.24,0
31,ROYEN31,Royal Energy,IT,NSE,INE320237A56,2018-11-09,10,3678.36,362636.3,1.12,0
32,GLOTE32,Global Telecom,Energy,NSE,INE722826A70,2017-12-21,2,3853.61,112334.95,1.81,0
33,OMEN33,Om Energy,Metals,NSE,INE577910A60,2017-06-12,5,2953.14,453802.17,0.45,1
34,ROYMO34,Royal Motors,Metals,NSE,INE497833A54,2022-02-07,10,1810.73,416424.97,1.61,1
35,PIOIN35,Pioneer Industries,Metals,NSE,INE815502A52,2017-10-09,5,1186.02,126334.27,0.94,1
36,OMIN36,Om Infra Ltd,Realty,NSE,INE416632A95,2020-07-04,2,3461.36,400769.98,1.8,1
37,ROYIN37,Royal Industries,Banking,BSE,INE925276A86,2019-08-07,5,3663.91,95754.62,2.17,0
38,UNIPH38,United Pharma,Pharma,NSE,INE838663A44,2014-10-18,1,408.29,12528.02,0.9,0
39,PRIMO39,Prime Motors,Metals,BSE,INE963566A68,2018-05-27,10,2226.2,480564.19,1.2,0
40,TRUTE40,Trust Textiles,Energy,NSE,INE901729A11,2018-12-26,5,534.19,380699.2,1.39,0
41,NATTE41,National Technologies,FMCG,NSE,INE196194A11,2022-11-04,2,1021.29,244562.81,1.39,0
42,TRUBA42,Trust Bank,Telecom,BSE,INE997441A38,2013-01-18,2,1545.12,421620.39,0.68,0
43,OMTE43,Om Technologies,FMCG,NSE,INE135241A77,2017-01-26,1,1258.43,38003.09,1.45,1
44,ALPME44,Alpha Metals,FMCG,NSE,INE812405A92,2015-06-13,10,2869.68,369867.25,1.7,1
45,METPH45,Metro Pharma,Auto,NSE,INE621029A70,2018-09-02,5,334.29,478167.23,2.1,0
46,SUNPH46,Sun Pharma,FMCG,BSE,INE656075A72,2020-05-10,1,2462.82,409313.48,1.71,1
47,BHABA47,Bharat Bank,Energy,BSE,INE565468A12,2020-04-09,2,2334.03,215894.69,1.49,1
48,ALPMO48,Alpha Motors,Infra,NSE,INE250599A92,2022-12-05,1,3153.04,173220.83,0.82,0
49,METIN49,Metro Industries,Infra,BSE,INE143525A17,2014-02-14,2,404.78,446218.72,0.58,1
50,BHARE50,Bharat Realty,FMCG,NSE,INE820406A94,2017-09-25,10,1343.77,145824.37,1.54,0
51,TRUME51,Trust Metals,FMCG,BSE,INE502063A22,2019-06-25,5,2794.47,468730.35,1.53,1
52,ROYRE52,Royal Realty,Telecom,BSE,INE629599A12,2015-12-13,2,2852.51,159992.76,1.91,0
53,STARE53,Star Realty,Energy,NSE,INE424342A60,2021-09-15,5,1809.51,62594.9,1.2,0
54,RELST54,Reliable Steel,IT,NSE,INE892360A20,2018-04-23,5,1857.84,118021.35,0.71,1
55,NATBA55,National Bank,Energy,BSE,INE646010A12,2018-08-21,1,3860.54,259789.69,0.8,1
