order_id,customer_id,stock_id,order_date,order_time,order_type,order_mode,exchange,quantity,price_per_unit,gross_amount,brokerage_fee,tax_amount,net_amount,order_status,payment_id
15843,1065,176,2023-01-02,09:00:27,SELL,Limit,NSE,287,1933.91,555032.17,20.0,555.03,555607.2,COMPLETED,515843
77274,1991,27,2023-01-02,09:01:23,SELL,Market,NSE,429,3258.2,1397767.8,20.0,1397.77,1399185.57,COMPLETED,577274
27009,2780,63,2023-01-02,09:04:00,BUY,Limit,BSE,189,3256.23,615427.47,20.0,615.43,616062.9,COMPLETED,527009
36803,1500,52,2023-01-02,09:04:11,SELL,Market,BSE,227,2902.81,658937.87,20.0,658.94,659616.81,PENDING,
83666,1821,13,2023-01-02,09:04:50,BUY,Market,BSE,386,2093.34,808029.24,20.0,808.03,808857.27,COMPLETED,583666
18772,4478,159,2023-01-02,09:12:30,SELL,Market,NSE,299,655.93,196123.07,20.0,196.12,196339.19,COMPLETED,518772
89132,4185,24,2023-01-02,09:14:15,SELL,Limit,NSE,236,2565.81,605531.16,20.0,605.53,606156.69,CANCELLED,
784,2938,63,2023-01-02,09:15:02,SELL,Market,BSE,466,3323.56,1548778.96,20.0,1548.78,1550347.74,COMPLETED,500784
20013,1616,70,2023-01-02,09:15:36,BUY,Limit,NSE,141,3165.11,446280.51,20.0,446.28,446746.79,COMPLETED,520013
14050,4332,4,2023-01-02,09:18:11,SELL,Limit,NSE,283,1502.65,425249.95,20.0,425.25,425695.2,COMPLETED,514050
104,1613,125,2023-01-02,09:18:32,SELL,Market,NSE,248,915.87,227135.76,20.0,227.14,227382.9,COMPLETED,500104
39665,3207,2,2023-01-02,09:26:01,SELL,Stop-Loss,NSE,78,3951.1,308185.8,20.0,308.19,308513.99,COMPLETED,539665
32910,1089,120,2023-01-02,09:27:31,BUY,Stop-Loss,BSE,409,2654.38,1085641.42,20.0,1085.64,1086747.06,PENDING,
49380,3009,139,2023-01-02,09:28:49,SELL,Limit,BSE,353,1370.22,483687.66,20.0,483.69,484191.35,COMPLETED,549380
71372,4914,201,2023-01-02,09:29:45,SELL,Limit,NSE,439,2620.23,1150280.97,20.0,1150.28,1151451.25,COMPLETED,571372
93449,1381,219,2023-01-02,09:30:06,SELL,Market,NSE,286,2986.93,854261.98,20.0,854.26,855136.24,COMPLETED,593449
2286,4492,255,2023-01-02,09:34:59,SELL,Market,NSE,100,1741.42,174142.0,20.0,174.14,174336.14,COMPLETED,502286
13802,2486,155,2023-01-02,09:40:46,BUY,Market,BSE,81,658.59,53345.79,16.0,53.35,53415.14,COMPLETED,513802
59774,702,205,2023-01-02,09:41:10,BUY,Limit,BSE,176,3591.19,632049.44,20.0,632.05,632701.49,COMPLETED,559774
91508,1821,253,2023-01-02,09:43:10,BUY,Market,NSE,271,2486.1,673733.1,20.0,673.73,674426.83,CANCELLED,
28790,1648,13,2023-01-02,09:45:55,SELL,Limit,BSE,171,2217.68,379223.28,20.0,379.22,379622.5,COMPLETED,528790
