payment_id,order_id,customer_id,payment_date,payment_amount,payment_method,payment_status,transaction_ref
515843,15843,1065,2023-01-03,555607.2,NEFT/RTGS,SUCCESS,TXN5176720113
577274,77274,1991,2023-01-02,1399185.57,Net Banking,SUCCESS,TXN9518250876
527009,27009,2780,2023-01-03,616062.9,UPI,SUCCESS,TXN5236387995
583666,83666,1821,2023-01-02,808857.27,Wallet,SUCCESS,TXN2514789519
518772,18772,4478,2023-01-02,196339.19,Wallet,SUCCESS,TXN7211363240
500784,784,2938,2023-01-03,1550347.74,Net Banking,SUCCESS,TXN8877788312
520013,20013,1616,2023-01-03,446746.79,NEFT/RTGS,SUCCESS,TXN9346487709
514050,14050,4332,2023-01-02,425695.2,Debit Card,SUCCESS,TXN6759787981
500104,104,1613,2023-01-02,227382.9,UPI,SUCCESS,TXN8552969531
539665,39665,3207,2023-01-03,308513.99,Net Banking,SUCCESS,TXN4636598488
549380,49380,3009,2023-01-02,484191.35,Debit Card,REFUNDED,TXN1696925794
571372,71372,4914,2023-01-03,1151451.25,UPI,SUCCESS,TXN4194823471
593449,93449,1381,2023-01-02,855136.24,Net Banking,SUCCESS,TXN7596763566
502286,2286,4492,2023-01-03,174336.14,NEFT/RTGS,SUCCESS,TXN7218752253
513802,13802,2486,2023-01-02,53415.14,Net Banking,SUCCESS,TXN6721576636
559774,59774,702,2023-01-03,632701.49,UPI,SUCCESS,TXN4778439260
528790,28790,1648,2023-01-02,379622.5,Net Banking,SUCCESS,TXN2355486625
507224,7224,2106,2023-01-02,105527.1,Net Banking,SUCCESS,TXN6708826306
588652,88652,2092,2023-01-03,67171.64,Debit Card,SUCCESS,TXN7752777825
577084,77084,227,2023-01-02,11981.88,Net Banking,SUCCESS,TXN8212331529
598938,98938,1328,2023-01-02,662484.15,Debit Card,SUCCESS,TXN9674538460
517737,17737,148,2023-01-03,1281425.39,NEFT/RTGS,SUCCESS,TXN4079653792
560598,60598,2876,2023-01-02,702242.27,UPI,SUCCESS,TXN2896095131
590376,90376,3550,2023-01-02,1557348.21,Net Banking,SUCCESS,TXN3934195292
588288,88288,3548,2023-01-03,273821.53,UPI,SUCCESS,TXN7270025761
577954,77954,3550,2023-01-02,1108611.52,Wallet,SUCCESS,TXN1995572758
507695,7695,582,2023-01-03,384655.57,NEFT/RTGS,SUCCESS,TXN3794200110
554724,54724,4307,2023-01-02,1184977.19,Wallet,SUCCESS,TXN1125979163
572957,72957,488,2023-01-02,667822.52,UPI,SUCCESS,TXN6911623547
586534,86534,3003,2023-01-02,1009446.32,Net Banking,SUCCESS,TXN8998089956
538636,38636,874,2023-01-02,718221.59,Debit Card,SUCCESS,TXN9270492004
518012,18012,2431,2023-01-03,234854.55,UPI,SUCCESS,TXN2765773192
563026,63026,4935,2023-01-02,518859.84,NEFT/RTGS,SUCCESS,TXN3641228900
524407,24407,2573,2023-01-02,208734.51,Net Banking,SUCCESS,TXN8778891136
545401,45401,4880,2023-01-02,271375.72,Net Banking,SUCCESS,TXN6999943516
553591,53591,2569,2023-01-03,17538.09,Net Banking,FAILED,TXN1472967102
525366,25366,2525,2023-01-02,64110.94,UPI,SUCCESS,TXN8218759902
590215,90215,4721,2023-01-02,299069.95,UPI,SUCCESS,TXN9315647925
561481,61481,2689,2023-01-03,455270.96,Debit Card,SUCCESS,TXN9182267207
576838,76838,2476,2023-01-03,159633.45,NEFT/RTGS,REFUNDED,TXN5407989303
528515,28515,1447,2023-01-02,116861.09,Wallet,SUCCESS,TXN6376366347
517107,17107,3828,2023-01-02,310244.01,Wallet,SUCCESS,TXN9872760128
508378,8378,3491,2023-01-03,885065.06,Wallet,SUCCESS,TXN5149635428
541392,41392,345,2023-01-02,303627.94,NEFT/RTGS,SUCCESS,TXN4077295182
507168,7168,227,2023-01-03,1308977.58,Wallet,SUCCESS,TXN8127873553
520357,20357,4582,2023-01-03,1185431.46,Debit Card,SUCCESS,TXN1608070026
581831,81831,2485,2023-01-03,829082.63,Net Banking,SUCCESS,TXN7944934220
542324,42324,907,2023-01-02,532609.66,NEFT/RTGS,SUCCESS,TXN2960221524
518048,18048,1377,2023-01-02,976607.17,Debit Card,SUCCESS,TXN9513298046
541515,41515,2282,2023-01-03,459997.02,Debit Card,SUCCESS,TXN9287751047
529114,29114,4901,2023-01-03,79168.33,NEFT/RTGS,SUCCESS,TXN5204784517
507980,7980,789,2023-01-03,35947.85,Debit Card,SUCCESS,TXN8697327088
569240,69240,488,2023-01-02,91928.32,Wallet,SUCCESS,TXN9920676426
511955,11955,3207,2023-01-03,819828.28,UPI,SUCCESS,TXN6307786693
595718,95718,4332,2023-01-02,413460.59,Net Banking,SUCCESS,TXN8731810267
539131,39131,4975,2023-01-02,405597.0,Wallet,SUCCESS,TXN8807171876
566006,66006,2759,2023-01-02,998747.57,UPI,SUCCESS,TXN5816623321
598043,98043,2678,2023-01-03,229098.77,NEFT/RTGS,SUCCESS,TXN5061630316
523464,23464,3550,2023-01-02,263656.45,Debit Card,SUCCESS,TXN4186564517
511902,11902,3212,2023-01-02,170361.29,Wallet,SUCCESS,TXN4991468101
570308,70308,1599,2023-01-03,570561.81,NEFT/RTGS,SUCCESS,TXN2482063479
593208,93208,3207,2023-01-03,464927.64,NEFT/RTGS,SUCCESS,TXN3211729112
543243,43243,4314,2023-01-03,95657.22,Debit Card,SUCCESS,TXN3343096722
564915,64915,2801,2023-01-02,2000794.62,NEFT/RTGS,FAILED,TXN5331153062
567864,67864,1815,2023-01-02,837588.89,Debit Card,SUCCESS,TXN2796269541
554256,54256,2377,2023-01-03,558691.51,Net Banking,SUCCESS,TXN1213172345
519958,19958,1941,2023-01-02,1499668.23,Net Banking,SUCCESS,TXN3541825376
558017,58017,1939,2023-01-03,358843.87,Debit Card,SUCCESS,TXN5397005650
514291,14291,1889,2023-01-03,1336517.65,NEFT/RTGS,SUCCESS,TXN5763492038
528858,28858,1996,2023-01-02,259579.38,Wallet,SUCCESS,TXN4878813930
516122,16122,3521,2023-01-03,1640577.28,Net Banking,SUCCESS,TXN6769873580
580355,80355,81,2023-01-03,18978.82,Wallet,SUCCESS,TXN2218056580
550622,50622,2932,2023-01-02,62720.58,Wallet,SUCCESS,TXN9248904084
567852,67852,1939,2023-01-02,62076.17,UPI,SUCCESS,TXN3876396875
502130,2130,1328,2023-01-02,373688.19,NEFT/RTGS,SUCCESS,TXN2365698717
